Projected Iteration,Predicted_Price,Last Feature Vector,New Feature Vector
1,278.27606,"[ 2.72278845  1.45304851  2.79693979 -0.05367492  0.03532871  2.4136594
  2.52899744  0.21882895  0.51729596  0.76889658 -0.64107801  1.95262774]","[ 2.72278845  1.45304851  2.79693979 -0.05367492  0.03532871  2.4136594
  2.52899744  0.21882895  0.51729596  0.76889658 -0.64107801  1.95262774]"
2,277.79993,"[ 2.74984081  1.48776055  2.82245106 -0.03376454 -0.1650834   2.43128576
  2.56130664  0.20520846  0.4462573   0.70711337 -0.74825477  1.84694798]","[ 2.74984081  1.48776055  2.82245106 -0.03376454 -0.1650834   2.43128576
  2.56130664  0.20520846  0.4462573   0.70711337 -0.74825477  1.84694798]"
3,275.8896,"[ 2.77473926  1.52177555  2.84205856 -0.32993306 -0.49256046  2.44138394
  2.59796584  0.17744911  0.34004948  0.63516191 -0.72978994  1.74126823]","[ 2.77473926  1.52177555  2.84205856 -0.32993306 -0.49256046  2.44138394
  2.59796584  0.17744911  0.34004948  0.63516191 -0.72978994  1.74126823]"
4,268.65076,"[ 2.78846988  1.55241025  2.84231702 -0.8789719  -1.31950884  2.4396475
  2.62643875  0.14398339  0.09115471  0.52481436 -0.5064544   1.63558847]","[ 2.78846988  1.55241025  2.84231702 -0.8789719  -1.31950884  2.4396475
  2.62643875  0.14398339  0.09115471  0.52481436 -0.5064544   1.63558847]"
5,264.58548,"[ 2.80213824  1.58098528  2.83213087 -1.24262328 -2.18038044  2.42774679
  2.66627952  0.0853862  -0.19740356  0.37533799 -0.57534288  1.52990872]","[ 2.80213824  1.58098528  2.83213087 -1.24262328 -2.18038044  2.42774679
  2.66627952  0.0853862  -0.19740356  0.37533799 -0.57534288  1.52990872]"
6,264.66678,"[ 2.82700674  1.6109187   2.82255286 -1.23544261 -2.75143285  2.38372154
  2.76405329 -0.07683525 -0.42321182  0.20786678 -0.66838588  1.63558847]","[ 2.82700674  1.6109187   2.82255286 -1.23544261 -2.75143285  2.38372154
  2.76405329 -0.07683525 -0.42321182  0.20786678 -0.66838588  1.63558847]"
7,264.67255,"[ 2.84885834  1.64187341  2.81336526 -1.19665201 -2.71133384  2.34492924
  2.85008774 -0.21964525 -0.59893281  0.03662235 -0.78302189  1.74126823]","[ 2.84885834  1.64187341  2.81336526 -1.19665201 -2.71133384  2.34492924
  2.85008774 -0.21964525 -0.59893281  0.03662235 -0.78302189  1.74126823]"
8,264.721,"[ 2.87063214  1.6753835   2.80466235 -1.03751449 -2.61466424  2.30146415
  2.94125333 -0.37390445 -0.73247693 -0.12869564 -0.92985036  1.84694798]","[ 2.87063214  1.6753835   2.80466235 -1.03751449 -2.61466424  2.30146415
  2.94125333 -0.37390445 -0.73247693 -0.12869564 -0.92985036  1.84694798]"
9,274.18518,"[ 2.90240649  1.71431034  2.82059269  0.39773569 -0.76607739  2.26647364
  3.04214913 -0.52833067 -0.62587052 -0.23834062 -0.6427062   1.95262774]","[ 2.90240649  1.71431034  2.82059269  0.39773569 -0.76607739  2.26647364
  3.04214913 -0.52833067 -0.62587052 -0.23834062 -0.6427062   1.95262774]"
10,277.13675,"[ 2.94031078  1.7580354   2.84347419  1.02831077 -0.35299967  2.21797727
  3.17014513 -0.72933989 -0.47452409 -0.29395858 -0.62811956  2.05830749]","[ 2.94031078  1.7580354   2.84347419  1.02831077 -0.35299967  2.21797727
  3.17014513 -0.72933989 -0.47452409 -0.29395858 -0.62811956  2.05830749]"
11,276.99536,"[ 2.97191167  1.79906554  2.86509548  1.00819855 -0.29724494  2.18571011
  3.267628   -0.87662889 -0.35738177 -0.31360904 -0.65599292  1.95262774]","[ 2.97191167  1.79906554  2.86509548  1.00819855 -0.29724494  2.18571011
  3.267628   -0.87662889 -0.35738177 -0.31360904 -0.65599292  1.95262774]"
12,277.02762,"[ 2.99096312  1.84000146  2.88595166  1.01052633 -0.46506441  2.18801202
  3.30180976 -0.91135311 -0.26458112 -0.30964795 -0.69171851  2.05830749]","[ 2.99096312  1.84000146  2.88595166  1.01052633 -0.46506441  2.18801202
  3.30180976 -0.91135311 -0.26458112 -0.30964795 -0.69171851  2.05830749]"
13,277.04367,"[ 3.00936426  1.88119515  2.90603116  1.00744883 -0.38646695  2.18984389
  3.33526722 -0.94586507 -0.19226295 -0.29114163 -0.82441321  2.16398724]","[ 3.00936426  1.88119515  2.90603116  1.00744883 -0.38646695  2.18984389
  3.33526722 -0.94586507 -0.19226295 -0.29114163 -0.82441321  2.16398724]"
14,276.94247,"[ 3.03310355  1.92185778  2.92506348  0.14997417 -0.4256699   2.17425391
  3.39872213 -1.03501238 -0.13937647 -0.26512023 -0.82441321  2.05830749]","[ 3.03310355  1.92185778  2.92506348  0.14997417 -0.4256699   2.17425391
  3.39872213 -1.03501238 -0.13937647 -0.26512023 -0.82441321  2.05830749]"
15,276.80923,"[ 3.05524426  1.96199883  2.94300745 -0.11408486 -0.43909932  2.15873568
  3.45900951 -1.12058762 -0.10301658 -0.2365918  -0.82441321  1.95262774]","[ 3.05524426  1.96199883  2.94300745 -0.11408486 -0.43909932  2.15873568
  3.45900951 -1.12058762 -0.10301658 -0.2365918  -0.82441321  1.95262774]"
16,276.7396,"[ 3.07319695  2.00127027  2.96006898 -0.10801294 -0.39643515  2.1520368
  3.5012429  -1.17535098 -0.07863061 -0.2085972  -0.82441321  1.84694798]","[ 3.07319695  2.00127027  2.96006898 -0.10801294 -0.39643515  2.1520368
  3.5012429  -1.17535098 -0.07863061 -0.2085972  -0.82441321  1.84694798]"
17,274.3156,"[ 3.08050002  2.03949215  2.97023973 -0.31634218 -0.45012936  2.15284452
  3.51443035 -1.18884759 -0.11530884 -0.19398036 -0.8042483   1.74126823]","[ 3.08050002  2.03949215  2.97023973 -0.31634218 -0.45012936  2.15284452
  3.51443035 -1.18884759 -0.11530884 -0.19398036 -0.8042483   1.74126823]"
18,268.52383,"[ 3.0802269   2.07579746  2.9651457  -0.80890556 -0.29328465  2.15306934
  3.51364893 -1.18770897 -0.27294443 -0.21571873 -0.86105773  1.63558847]","[ 3.0802269   2.07579746  2.9651457  -0.80890556 -0.29328465  2.15306934
  3.51364893 -1.18770897 -0.27294443 -0.21571873 -0.86105773  1.63558847]"
19,268.3072,"[ 3.0787936   2.1102429   2.95969537 -0.81896461  0.22672179  2.15412475
  3.50968873 -1.18204286 -0.40182242 -0.26044227 -0.98375204  1.52990872]","[ 3.0787936   2.1102429   2.95969537 -0.81896461  0.22672179  2.15412475
  3.50968873 -1.18204286 -0.40182242 -0.26044227 -0.98375204  1.52990872]"
20,267.92508,"[ 3.07472525  2.14579515  2.95347801 -0.8404425   0.15768156  2.15615599
  3.499538   -1.16835715 -0.51031364 -0.31923025 -0.98375204  1.42422897]","[ 3.07472525  2.14579515  2.95347801 -0.8404425   0.15768156  2.15615599
  3.499538   -1.16835715 -0.51031364 -0.31923025 -0.98375204  1.42422897]"
